,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1)
0,MTNORAM.B21109M00160,-8.13096E+17,325.2,509,12479.71,5.09,-2.2884E+18,7.69125E+18,LOUISVILLE,KY,40216,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,4.95993E+18,MTNORAM.TL,MTNORAM.53DV,758.67,100.81,0,859.48,4/19/2021 0:00,4/20/2021 23:00,4/19/2021 14:36,4/19/2021 14:57,4/19/2021 21:54,4/19/2021 21:15
1,MTNORAM.B21109M00164,8.24222E+18,468.47,0,23671.95,1470.5,2.30774E+18,2.50984E+18,VONORE,TN,37885,1.43602E+18,2.28612E+18,MORRIS,IL,60450,-5.70404E+18,MTNORAM.TL,MTNORAM.53DV,950,237.78,0,1187.78,4/24/2021 11:00,4/26/2021 6:30,4/24/2021 9:30,4/24/2021 12:51,4/24/2021 23:15,4/26/2021 10:27
2,MTNORAM.B21109M00168,8.24222E+18,468.47,0,4404.23,589.41,2.30774E+18,2.50984E+18,VONORE,TN,37885,9.21712E+18,-9.05468E+18,MORRIS,IL,60450,-5.70404E+18,MTNORAM.TL,MTNORAM.53DV,950,237.78,0,1187.78,4/24/2021 12:00,4/26/2021 7:30,4/24/2021 15:08,4/24/2021 16:59,4/25/2021 18:10,4/26/2021 10:14
3,MTNORAM.B21109M00169,-8.13096E+17,234.15,1441,42266.89,14.41,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,1.94546E+18,1.83827E+18,BELLEVILLE,IL,62220,4.70346E+17,MTNORAM.TL,MTNORAM.53DV,994,72.59,0,1066.59,4/29/2021 16:00,4/21/2021 0:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
4,MTNORAM.B21109M00172,-6.37921E+18,1726.48,0,17269.63,2047.31,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,-6.64393E+17,-1.81868E+18,TUALATIN,OR,97062,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,3153.16,0,0,3153.16,4/26/2021 21:04,4/29/2021 1:04,4/26/2021 17:34,4/26/2021 17:32,NO EVENT,NO EVENT
5,MTNORAM.B21109M00173,-6.37921E+18,1183.57,0,19095,2411.04,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,6.19943E+18,-4.29903E+18,BREA,CA,92821,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,1728.77,0,0,1728.77,4/28/2021 13:04,4/29/2021 22:04,4/25/2021 16:27,4/28/2021 9:34,NO EVENT,NO EVENT
6,MTNORAM.B21109M00174,-6.37921E+18,1741.8,0,19179,2252.44,6.52111E+18,-1.26233E+18,SAN ANTONIO,TX,78264,-4.62985E+18,-1.01927E+18,ELK GROVE,CA,95758-7172,-4.44343E+18,MTNORAM.INTERMODAL,MTNORAM.53IM,2508.19,0,0,2508.19,4/23/2021 12:04,4/21/2021 15:04,NO EVENT,NO EVENT,NO EVENT,NO EVENT
7,MTNORAM.B21109M00176,8.24222E+18,44.8,44,32156.7,3,8.55896E+18,8.39512E+18,CARLISLE,PA,17015,-5.0399E+18,-8.83586E+18,YORK,PA,17406,-5.47872E+18,MTNORAM.TL,MTNORAM.53DV,730,17.47,0,747.47,4/23/2021 7:00,4/23/2021 9:00,4/23/2021 7:00,4/23/2021 8:00,4/23/2021 8:50,4/23/2021 10:00
8,MTNORAM.B21109M00175,8.24222E+18,834.7,27,31500,1,-3.55271E+17,3.39605E+18,ST PETERSBURG,FL,33716,2.21292E+18,2.52294E+18,RICHMOND,VA,23231,7.05396E+18,MTNORAM.TL,MTNORAM.53RF,2350,325.53,0,2675.53,4/30/2021 13:00,5/3/2021 7:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
9,MTNORAM.B21109M00177,8.24222E+18,223,36,9000,1728,7.70046E+18,-3.98798E+18,CHESWICK,PA,15024,-7.68311E+18,-4.68522E+18,YORK,PA,17406,7.40193E+18,MTNORAM.TL,MTNORAM.53DV,500,86.97,0,586.97,4/20/2021 12:00,4/21/2021 7:00,4/20/2021 13:00,4/20/2021 13:00,4/21/2021 7:00,4/21/2021 7:00
10,MTNORAM.B21109M00179,-6.37921E+18,410.45,0,2145,270.66,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,3.20262E+18,3.02307E+18,PEORIA,IL,61615-1808,8.90983E+18,MTNORAM.TL,MTNORAM.53DV,1049.2,151.28,0,1200.48,4/26/2021 15:04,4/27/2021 18:04,4/26/2021 10:47,NO EVENT,4/27/2021 7:28,4/27/2021 13:17
11,MTNORAM.B21109M00178,-6.37921E+18,488,0,8193.5,786.57,3.4104E+18,-1.90812E+18,BYHALIA,MS,38611,3.20262E+18,3.02307E+18,PEORIA,IL,61615-1808,-6.30279E+18,MTNORAM.TL,MTNORAM.53DV,883.28,151.28,0,1034.56,5/4/2021 15:05,5/5/2021 15:05,NO EVENT,NO EVENT,NO EVENT,NO EVENT
